scaling,Year,filename
1,2012,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2017_ginna_DA.csv
1,2013,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2021_ginna_DA.csv
1,2014,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2016_ginna_DA.csv
1,2015,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2020_ginna_DA.csv
1,2016,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2013_ginna_DA.csv
1,2017,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2014_ginna_DA.csv
1,2018,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2015_ginna_DA.csv
1,2019,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2012_ginna_DA.csv
1,2020,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2018_ginna_DA.csv
1,2021,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2019_ginna_DA.csv
1,2022,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2017_ginna_DA.csv
1,2023,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2021_ginna_DA.csv
1,2024,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2016_ginna_DA.csv
1,2025,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2020_ginna_DA.csv
1,2026,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2013_ginna_DA.csv
1,2027,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2014_ginna_DA.csv
1,2028,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2015_ginna_DA.csv
1,2029,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2012_ginna_DA.csv
1,2030,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2018_ginna_DA.csv
1,2031,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2019_ginna_DA.csv
1,2032,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2017_ginna_DA.csv
1,2033,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2021_ginna_DA.csv
1,2034,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2016_ginna_DA.csv
1,2035,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2020_ginna_DA.csv
1,2036,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2013_ginna_DA.csv
1,2037,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2014_ginna_DA.csv
1,2038,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2015_ginna_DA.csv
1,2039,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2012_ginna_DA.csv
1,2040,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2018_ginna_DA.csv
1,2041,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2019_ginna_DA.csv
1,2042,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2017_ginna_DA.csv
1,2043,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2021_ginna_DA.csv
1,2044,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2016_ginna_DA.csv
1,2045,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2020_ginna_DA.csv
1,2046,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2013_ginna_DA.csv
1,2047,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2014_ginna_DA.csv
1,2048,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2015_ginna_DA.csv
1,2049,/Users/garrm/FORCE/use_cases/IES_Feb23/data/electricity_markets/NYISO_ginna/original_data/2012_ginna_DA.csv
